State Legislative District,Office,Party,Candidate,Votes
House 44,Governor,Dem,Tom Wolf,2451
House 44,Governor,Grn,Paul Glover,19
House 44,Governor,Lib,Ken V. Krawchuk,44
House 44,Governor,Rep,Scott R. Wagner,1204
House 45,Governor,,WRITE-IN,5
House 45,Governor,Dem,Tom Wolf,5288
House 45,Governor,Grn,Paul Glover,57
House 45,Governor,Lib,Ken V. Krawchuk,80
House 45,Governor,Rep,Scott R. Wagner,2455
House 46,Governor,,WRITE-IN,0
House 46,Governor,,Write-ins,11
House 46,Governor,DEM,Tom Wolf,6769
House 46,Governor,Dem,Tom Wolf,345
House 46,Governor,GRN,Paul Glover,95
House 46,Governor,Grn,Paul Glover,4
House 46,Governor,LIB,Ken V. Krawchuk,248
House 46,Governor,Lib,Ken V. Krawchuk,5
House 46,Governor,REP,Scott R. Wagner,6811
House 46,Governor,Rep,Scott R. Wagner,166
House 47,Governor,,Write-In,24
House 47,Governor,Dem,Tom WOLF,11253
House 47,Governor,Grn,Paul GLOVER,86
House 47,Governor,LIB,Ken V. KRAWCHUK,281
House 47,Governor,Rep,Scott R. WAGNER,10710
House 48,Governor,,Write-ins,19
House 48,Governor,DEM,Tom Wolf,13043
House 48,Governor,GRN,Paul Glover,168
House 48,Governor,LIB,Ken V. Krawchuk,398
House 48,Governor,REP,Scott R. Wagner,10860
House 49,Governor,,Write-ins,20
House 49,Governor,DEM,Tom Wolf,10776
House 49,Governor,GRN,Paul Glover,157
House 49,Governor,LIB,Ken V. Krawchuk,311
House 49,Governor,REP,Scott R. Wagner,9471
House 50,Governor,,Write-ins,2
House 50,Governor,DEM,Tom Wolf,9551
House 50,Governor,GRN,Paul Glover,155
House 50,Governor,LIB,Ken V. Krawchuk,170
House 50,Governor,REP,Scott R. Wagner,2661
House 50,Governor,REP,Scott Wagner,6381
House 51,Governor,,Write-ins,19
House 51,Governor,DEM,Tom Wolf,8878
House 51,Governor,GRN,Paul Glover,140
House 51,Governor,LIB,Ken V. Krawchuk,177
House 51,Governor,REP,Scott R. Wagner,10261
House 52,Governor,,Write-ins,10
House 52,Governor,DEM,Tom Wolf,7336
House 52,Governor,GRN,Paul Glover,102
House 52,Governor,LIB,Ken V. Krawchuk,176
House 52,Governor,REP,Scott R. Wagner,8809
House 53,Governor,,Write-ins,5
House 53,Governor,DEM,TOM WOLF/JOHN FETTERMAN,14885
House 53,Governor,GRN,PAUL GLOVER/J. BOWSER-BOSTICK,164
House 53,Governor,LIB,KEN V. KRAWCHUK/K.S. SMITH,260
House 53,Governor,REP,SCOTT R. WAGNER/JEFF BARTOS,9978
House 54,Governor,,WRITE-IN,3
House 54,Governor,Dem,Tom Wolf,3608
House 54,Governor,Grn,Paul Glover,14
House 54,Governor,Lib,Ken V. Krawchuk,58
House 54,Governor,Rep,Scott R. Wagner,3168
House 59,Governor,DEM,Tom Wolf,1879
House 59,Governor,GRN,Paul Glover,34
House 59,Governor,LIB,Ken V. Krawchuk,79
House 59,Governor,REP,Scott R. Wagner,3453
House 61,Governor,,Write-ins,1
House 61,Governor,DEM,TOM WOLF/JOHN FETTERMAN,1721
House 61,Governor,GRN,PAUL GLOVER/J. BOWSER-BOSTICK,12
House 61,Governor,LIB,KEN V. KRAWCHUK/K.S. SMITH,26
House 61,Governor,REP,SCOTT R. WAGNER/JEFF BARTOS,835
House 65,Governor,,Write-ins,4
House 65,Governor,DEM,TOM WOLF/JOHN FETTERMAN,1736
House 65,Governor,DEM,Tom Wolf,387
House 65,Governor,GRN,PAUL GLOVER/JOCOLYN BOWER-BOSTICK,30
House 65,Governor,GRN,Paul Glover,8
House 65,Governor,LIB,KEN V. KRAWCHUK/K. S. SMITH,46
House 65,Governor,LIB,Ken V. Krawchuk,15
House 65,Governor,REP,SCOTT R. WAGNER/JEFF BARTOS,3277
House 65,Governor,REP,Scott R. Wagner,840
House 69,Governor,DEM,Tom Wolf,5946
House 69,Governor,GRN,Paul Glover,133
House 69,Governor,LIB,Ken V. Krawchuk,235
House 69,Governor,REP,Scott R. Wagner,12719
House 71,Governor,DEM,Tom Wolf,138
House 71,Governor,GRN,Paul Glover,1
House 71,Governor,LIB,Ken V. Krawchuk,6
House 71,Governor,REP,Scott R. Wagner,188
House 74,Governor,,Write-ins,2
House 74,Governor,DEM,TOM WOLF,5689
House 74,Governor,GRN,PAUL GLOVER,50
House 74,Governor,LIB,KEN V KRAWCHUK,83
House 74,Governor,REP,SCOTT R WAGNER,3624
House 75,Governor,,Write-ins,6
House 75,Governor,DEM,TOM WOLF,3698
House 75,Governor,GRN,PAUL GLOVER,73
House 75,Governor,LIB,KEN V KRAWCHUK,105
House 75,Governor,REP,SCOTT R WAGNER,7661
House 78,Governor,,Write - In,4
House 78,Governor,,Write In,5
House 78,Governor,DEM,Wolf / Fetterman,1137
House 78,Governor,DEM,Wolf/Fetterman,886
House 78,Governor,GRN,Glover / Bostick,20
House 78,Governor,GRN,Glover/Bowser-Bostick,15
House 78,Governor,LIB,Krawchuk / Smith,34
House 78,Governor,LIB,Krawchuk/Smith,37
House 78,Governor,REP,Wagner / Bartos,3352
House 78,Governor,REP,Wagner/Bartos,3605
House 79,Governor,,BARACK OBAMA (W),1
House 79,Governor,,CATHERINE RABOLD\ (W),1
House 79,Governor,,DONOVAN C JENKINS (W),1
House 79,Governor,,DR JOHN D DIAMOND (W),1
House 79,Governor,,ERIC SHOCK (W),1
House 79,Governor,,JOHN DIAMOND (W),1
House 79,Governor,,KURT ANGLE (W),1
House 79,Governor,,LAURA ELLSWORTH (W),2
House 79,Governor,,Over Votes,0
House 79,Governor,,PATRICK J FANELLI (W),1
House 79,Governor,,PAUL MANGO (W),1
House 79,Governor,,REP RON MILLER (W),1
House 79,Governor,,ROBERT BYERS (W),1
House 79,Governor,,TOM SMITH (W),1
House 79,Governor,,TOM WOLF JOCOLYN BOWSERBI (W),1
House 79,Governor,,Under Votes,226
House 79,Governor,DEM,TOM WOLF,7678
House 79,Governor,GRE,PAUL GLOVER,97
House 79,Governor,LIB,KEN V KRAWCHUK,241
House 79,Governor,REP,SCOTT R WAGNER,11413
House 80,Governor,,CHRISTIAN GREEN (W),1
House 80,Governor,,DONALD J TRUMP (W),2
House 80,Governor,,GERRY LOWE (W),1
House 80,Governor,,JERRY STERN (W),5
House 80,Governor,,JOE MANGO (W),1
House 80,Governor,,JOHN HIRT (W),1
House 80,Governor,,JOHN SWOPE (W),2
House 80,Governor,,JUDY WARD (W),1
House 80,Governor,,LAURA ELLSWORTH (W),1
House 80,Governor,,MICHAEL FAY (W),1
House 80,Governor,,MIKE HORTON (W),1
House 80,Governor,,Over Votes,0
House 80,Governor,,PATRICK KIELTY (W),1
House 80,Governor,,PAUL MANGO (W),1
House 80,Governor,,SAM ROHRER (W),1
House 80,Governor,,Under Votes,275
House 80,Governor,DEM,TOM WOLF,6947
House 80,Governor,GRE,PAUL GLOVER,120
House 80,Governor,LIB,KEN V KRAWCHUK,268
House 80,Governor,REP,SCOTT R WAGNER,16763
House 81,Governor,,Write In,5
House 81,Governor,,Write-ins,0
House 81,Governor,DEM,Tom Wolf, Governor,209
House 81,Governor,DEM,Wolf/Fetterman,4420
House 81,Governor,GRN,Glover/Bowser-Bostick,89
House 81,Governor,GRN,Paul Glover, Governor,5
House 81,Governor,LIB,Ken V Krawchuk, Governor,0
House 81,Governor,LIB,Krawchuk/Smith,156
House 81,Governor,REP,Scott R Wagner, Governor,705
House 81,Governor,REP,Wagner/Bartos,8492
House 82,Governor,,Over Votes,11
House 82,Governor,,Under Votes,74
House 82,Governor,,Write - In,4
House 82,Governor,,Write In,12
House 82,Governor,,Write-ins,8
House 82,Governor,DEM,Tom Wolf,2543
House 82,Governor,DEM,Tom Wolf, Governor,2833
House 82,Governor,DEM,Wolf / Fetterman,763
House 82,Governor,GRN,Glover / Bostick,24
House 82,Governor,GRN,Paul Glover,62
House 82,Governor,GRN,Paul Glover, Governor,51
House 82,Governor,LIB,Ken V Krawchuk,101
House 82,Governor,LIB,Ken V Krawchuk, Governor,92
House 82,Governor,LIB,Krawchuk / Smith,16
House 82,Governor,REP,Scott R Wagner,5772
House 82,Governor,REP,Scott R Wagner, Governor,5669
House 82,Governor,REP,Wagner / Bartos,2496
House 89,Governor,,Write - In,0
House 89,Governor,DEM,Wolf / Fetterman,34
House 89,Governor,GRN,Glover / Bostick,0
House 89,Governor,LIB,Krawchuk / Smith,6
House 89,Governor,REP,Wagner / Bartos,121
House 90,Governor,,Write - In,0
House 90,Governor,DEM,Wolf / Fetterman,560
House 90,Governor,GRN,Glover / Bostick,6
House 90,Governor,LIB,Krawchuk / Smith,18
House 90,Governor,REP,Wagner / Bartos,1041
House 92,Governor,,Write-In,7
House 92,Governor,Dem,Tom WOLF,2524
House 92,Governor,Grn,Paul GLOVER,31
House 92,Governor,LIB,Ken V. KRAWCHUK,91
House 92,Governor,Rep,Scott R. WAGNER,3817
House 93,Governor,,Write-In,33
House 93,Governor,Dem,Tom WOLF,14815
House 93,Governor,Grn,Paul GLOVER,182
House 93,Governor,LIB,Ken V. KRAWCHUK,363
House 93,Governor,Rep,Scott R. WAGNER,16190
House 94,Governor,,Write-In,25
House 94,Governor,Dem,Tom WOLF,9708
House 94,Governor,Grn,Paul GLOVER,141
House 94,Governor,LIB,Ken V. KRAWCHUK,302
House 94,Governor,Rep,Scott R. WAGNER,13500
House 95,Governor,,Write-In,18
House 95,Governor,Dem,Tom WOLF,9079
House 95,Governor,Grn,Paul GLOVER,84
House 95,Governor,LIB,Ken V. KRAWCHUK,186
House 95,Governor,Rep,Scott R. WAGNER,5676
House 97,Governor,,Write-ins,13
House 97,Governor,DEM,Tom Wolf,6957
House 97,Governor,GRN,Paul Glover,76
House 97,Governor,LIB,Ken V. Krawchuk,228
House 97,Governor,REP,Scott R. Wagner,7436
House 98,Governor,,Write In,0
House 98,Governor,,Write-ins,8
House 98,Governor,DEM,Tom WOLF,749
House 98,Governor,DEM,Tom Wolf,6403
House 98,Governor,GRN,Paul GLOVER,17
House 98,Governor,GRN,Paul Glover,104
House 98,Governor,LIB,Ken V. KRAWCHUK,31
House 98,Governor,LIB,Ken V. Krawchuk,245
House 98,Governor,REP,Scott R. WAGNER,1307
House 98,Governor,REP,Scott R. Wagner,6720
House 99,Governor,,Write-ins,9
House 99,Governor,DEM,Tom Wolf,5229
House 99,Governor,GRN,Paul Glover,81
House 99,Governor,LIB,Ken V. Krawchuk,228
House 99,Governor,REP,Scott R. Wagner,8709
House 101,Governor,,Write-ins,31
House 101,Governor,DEM,WOLF / FETTERMAN,11455
House 101,Governor,GRN,GLOVER / BOWSER-BOSTICK,111
House 101,Governor,LIB,KRAWCHUK / SMITH,311
House 101,Governor,REP,WAGNER / BARTOS,12265
House 102,Governor,,Write-ins,18
House 102,Governor,DEM,WOLF / FETTERMAN,8177
House 102,Governor,GRN,GLOVER / BOWSER-BOSTICK,129
House 102,Governor,LIB,KRAWCHUK / SMITH,247
House 102,Governor,REP,WAGNER / BARTOS,14265
House 103,Governor,,Write In,1
House 103,Governor,DEM,Tom WOLF,1008
House 103,Governor,GRN,Paul GLOVER,13
House 103,Governor,LIB,Ken V. KRAWCHUK,27
House 103,Governor,REP,Scott R. WAGNER,520
House 104,Governor,,Write In,1
House 104,Governor,,Write-ins,3
House 104,Governor,DEM,Tom WOLF,808
House 104,Governor,DEM,WOLF / FETTERMAN,527
House 104,Governor,GRN,GLOVER / BOWSER-BOSTICK,15
House 104,Governor,GRN,Paul GLOVER,13
House 104,Governor,LIB,KRAWCHUK / SMITH,40
House 104,Governor,LIB,Ken V. KRAWCHUK,10
House 104,Governor,REP,Scott R. WAGNER,234
House 104,Governor,REP,WAGNER / BARTOS,1566
House 106,Governor,,Write In,8
House 106,Governor,DEM,Tom WOLF,10124
House 106,Governor,GRN,Paul GLOVER,114
House 106,Governor,LIB,Ken V. KRAWCHUK,246
House 106,Governor,REP,Scott R. WAGNER,7465
House 110,Governor,,Denny Wolfe (W),1
House 110,Governor,,Denny Wolff (W),0
House 110,Governor,,Jeff Bartos-Gov Kathleen S Smith- LT Gov (W),1
House 110,Governor,,Laura Ellsworth (W),0
House 110,Governor,,Mickey Mouse (W),0
House 110,Governor,,Paul Mango (W),0
House 110,Governor,,Robert Feigrnley (W),0
House 110,Governor,,Tom Mango (W),0
House 110,Governor,,We The People (W),0
House 110,Governor,,Write In Votes,0
House 110,Governor,DEM,Tom Wolf John Fetterman,986
House 110,Governor,GRN,Paul Glover Jocolyn Bowser-Bostick,27
House 110,Governor,LIB,Ken V. Krawchuk Kathleen S. Smith,42
House 110,Governor,REP,Scott R. Wagner Jeff Bartos,2128
House 111,Governor,,Denny Wolfe (W),0
House 111,Governor,,Denny Wolff (W),1
House 111,Governor,,Jeff Bartos-Gov Kathleen S Smith- LT Gov (W),0
House 111,Governor,,Laura Ellsworth (W),1
House 111,Governor,,Mickey Mouse (W),1
House 111,Governor,,Paul Mango (W),2
House 111,Governor,,Robert Feigrnley (W),1
House 111,Governor,,Tom Mango (W),1
House 111,Governor,,We The People (W),1
House 111,Governor,,Write In Votes,0
House 111,Governor,DEM,Tom Wolf,4218
House 111,Governor,DEM,Tom Wolf John Fetterman,4287
House 111,Governor,GRN,Paul Glover,67
House 111,Governor,GRN,Paul Glover Jocolyn Bowser-Bostick,105
House 111,Governor,LIB,Ken V. Krawchuk,89
House 111,Governor,LIB,Ken V. Krawchuk Kathleen S. Smith,135
House 111,Governor,REP,Scott R. Wagner,5854
House 111,Governor,REP,Scott R. Wagner Jeff Bartos,8109
House 112,Governor,,Write-ins,17
House 112,Governor,DEM,Wolf / Fetterman,22780
House 112,Governor,GRN,Glover / Bowser-Bostick,186
House 112,Governor,LIB,Krawchuk / Smith,244
House 112,Governor,REP,Wagner / Bartos,10186
House 113,Governor,,Write-ins,11
House 113,Governor,DEM,Wolf / Fetterman,12757
House 113,Governor,GRN,Glover / Bowser-Bostick,85
House 113,Governor,LIB,Krawchuk / Smith,135
House 113,Governor,REP,Wagner / Bartos,5403
House 114,Governor,,Write-ins,12
House 114,Governor,DEM,Wolf / Fetterman,13140
House 114,Governor,GRN,Glover / Bowser-Bostick,113
House 114,Governor,LIB,Krawchuk / Smith,160
House 114,Governor,REP,Wagner / Bartos,7971
House 115,Governor,DEM,Tom Wolf,12760
House 115,Governor,GRN,Paul Glover,134
House 115,Governor,LIB,Ken Krawchuk,145
House 115,Governor,REP,Scott R. Wagner,6194
House 116,Governor,,WRITE-IN,7
House 116,Governor,DEM,WOLF / FETTERMAN,5178
House 116,Governor,GRN,GLOVER / BOWSER-BOSTICK,51
House 116,Governor,LIB,KRAWCHUK / SMITH,55
House 116,Governor,REP,WAGNER / BARTOS,5740
House 117,Governor,,WRITE-IN,14
House 117,Governor,,Write-ins,7
House 117,Governor,DEM,Tom Wolf,4101
House 117,Governor,DEM,WOLF / FETTERMAN,4789
House 117,Governor,GRE,Paul Glover,104
House 117,Governor,GRN,GLOVER / BOWSER-BOSTICK,70
House 117,Governor,LIB,KRAWCHUK / SMITH,102
House 117,Governor,LIB,Ken V. Krawchuk,100
House 117,Governor,REP,Scott Wagner,6344
House 117,Governor,REP,WAGNER / BARTOS,6299
House 118,Governor,,WRITE-IN,10
House 118,Governor,,Write-ins,4
House 118,Governor,DEM,WOLF / FETTERMAN,9596
House 118,Governor,DEM,Wolf / Fetterman,3027
House 118,Governor,GRN,GLOVER / BOWSER-BOSTICK,77
House 118,Governor,GRN,Glover / Bowser-Bostick,30
House 118,Governor,LIB,KRAWCHUK / SMITH,127
House 118,Governor,LIB,Krawchuk / Smith,32
House 118,Governor,REP,WAGNER / BARTOS,6919
House 118,Governor,REP,Wagner / Bartos,2654
House 119,Governor,,WRITE-IN,13
House 119,Governor,DEM,WOLF / FETTERMAN,9017
House 119,Governor,GRN,GLOVER / BOWSER-BOSTICK,104
House 119,Governor,LIB,KRAWCHUK / SMITH,140
House 119,Governor,REP,WAGNER / BARTOS,8444
House 120,Governor,,WRITE-IN,9
House 120,Governor,DEM,WOLF / FETTERMAN,12214
House 120,Governor,GRN,GLOVER / BOWSER-BOSTICK,113
House 120,Governor,LIB,KRAWCHUK / SMITH,177
House 120,Governor,REP,WAGNER / BARTOS,9679
House 121,Governor,,WRITE-IN,6
House 121,Governor,DEM,WOLF / FETTERMAN,10211
House 121,Governor,GRN,GLOVER / BOWSER-BOSTICK,111
House 121,Governor,LIB,KRAWCHUK / SMITH,144
House 121,Governor,REP,WAGNER / BARTOS,6475
House 122,Governor,,Write-In Votes,21
House 122,Governor,DEM,Tom Wolf,9074
House 122,Governor,GRN,Glover/BowserBos,129
House 122,Governor,LIB,Krawchuk/Smith,242
House 122,Governor,REP,Wagner/Bartos,11943
House 124,Governor,,Write-In Votes,0
House 124,Governor,DEM,Tom Wolf,585
House 124,Governor,GRN,Glover/BowserBos,9
House 124,Governor,LIB,Krawchuk/Smith,25
House 124,Governor,REP,Wagner/Bartos,533
House 125,Governor,,Write In,0
House 125,Governor,DEM,Tom WOLF,192
House 125,Governor,GRN,Paul GLOVER,5
House 125,Governor,LIB,Ken V. KRAWCHUK,4
House 125,Governor,REP,Scott R. WAGNER,139
House 128,Governor,,Write-ins,1
House 128,Governor,DEM,Tom Wolf,628
House 128,Governor,GRN,Paul Glover,7
House 128,Governor,LIB,Ken V. Krawchuk,30
House 128,Governor,REP,Scott R. Wagner,1714
House 129,Governor,DEM,Tom Wolf,317
House 129,Governor,GRN,Paul Glover,6
House 129,Governor,LIB,Ken V. Krawchuk,12
House 129,Governor,REP,Scott R. Wagner,418
House 130,Governor,,Write-ins,9
House 130,Governor,DEM,Tom Wolf,7622
House 130,Governor,GRN,Paul Glover,97
House 130,Governor,LIB,Ken V. Krawchuk,211
House 130,Governor,REP,Scott R. Wagner,8779
House 131,Governor,,Write-Ins,1
House 131,Governor,,Write-ins,1
House 131,Governor,DEM,TOM WOLF/JOHN FETTERMAN,1653
House 131,Governor,Dem,Wolf / Fetterman,10045
House 131,Governor,Dem,Wolf/Fetterman,2196
House 131,Governor,GRE,Glover/Bostick,8
House 131,Governor,GRN,Glover / Bowser-Bos,106
House 131,Governor,GRN,PAUL GLOVER/J. BOWSER-BOSTICK,17
House 131,Governor,LIB,KEN V. KRAWCHUK/K.S. SMITH,37
House 131,Governor,LIB,Krawchuk/Smith,35
House 131,Governor,Lib,Krawchuk/ Smith,218
House 131,Governor,REP,SCOTT R. WAGNER/JEFF BARTOS,1328
House 131,Governor,Rep,Wagner/ Bartos,8477
House 131,Governor,Rep,Wagner/Bartos,1720
House 133,Governor,Dem,Wolf / Fetterman,15126
House 133,Governor,GRN,Glover / Bowser-Bos,179
House 133,Governor,Lib,Krawchuk/ Smith,345
House 133,Governor,Rep,Wagner/ Bartos,8705
House 134,Governor,,Write-ins,2
House 134,Governor,DEM,Tom Wolf,2082
House 134,Governor,Dem,Wolf / Fetterman,12745
House 134,Governor,GRN,Glover / Bowser-Bos,132
House 134,Governor,GRN,Paul Glover,25
House 134,Governor,LIB,Ken V. Krawchuk,51
House 134,Governor,Lib,Krawchuk/ Smith,243
House 134,Governor,REP,Scott R. Wagner,2641
House 134,Governor,Rep,Wagner/ Bartos,9561
House 135,Governor,,Write-Ins,3
House 135,Governor,Dem,Wolf/Fetterman,15389
House 135,Governor,GRE,Glover/Bostick,162
House 135,Governor,LIB,Krawchuk/Smith,222
