State Legislative District,Office,Candidate,Party,Votes
House 1,Governor/Lieutenant Governor,,Write-in,6
House 1,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,63
House 1,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,3784
House 1,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,124
House 1,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,10485
House 2,Governor/Lieutenant Governor,,Write-in,3
House 2,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,66
House 2,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,4499
House 2,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,168
House 2,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,7966
House 3,Governor/Lieutenant Governor,,Write-in,0
House 3,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,53
House 3,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,3242
House 3,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,163
House 3,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,9230
House 4,Governor/Lieutenant Governor,,Write-in,1
House 4,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,36
House 4,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,1795
House 4,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,96
House 4,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,11687
House 5,Governor/Lieutenant Governor,,Write-in,4
House 5,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,49
House 5,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,3389
House 5,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,151
House 5,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,9586
House 6,Governor/Lieutenant Governor,,Write-in,5
House 6,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,54
House 6,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,5004
House 6,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,223
House 6,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,7561
House 7,Governor/Lieutenant Governor,,Write-in,0
House 7,Governor/Lieutenant Governor,CWP,Gary Siegwarth,26
House 7,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,48
House 7,Governor/Lieutenant Governor,DEM,Fred Hubbell,1383
House 7,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,2826
House 7,Governor/Lieutenant Governor,LIB,Jake Porter,62
House 7,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,105
House 7,Governor/Lieutenant Governor,REP,Kim Reynolds,2298
House 7,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,3960
House 8,Governor/Lieutenant Governor,,Write-in,1
House 8,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,21
House 8,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,1496
House 8,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,63
House 8,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,3305
House 9,Governor/Lieutenant Governor,,Write-in,2
House 9,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,51
House 9,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,5012
House 9,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,160
House 9,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,5672
House 10,Governor/Lieutenant Governor,,Write-in,4
House 10,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,58
House 10,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,4093
House 10,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,268
House 10,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,8577
House 11,Governor/Lieutenant Governor,,Write-in,1
House 11,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,52
House 11,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,2776
House 11,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,107
House 11,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,4631
House 12,Governor/Lieutenant Governor,,Write-in,0
House 12,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,20
House 12,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,1258
House 12,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,51
House 12,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,2236
House 13,Governor/Lieutenant Governor,,Write-in,2
House 13,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,49
House 13,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,4397
House 13,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,169
House 13,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,4740
House 14,Governor/Lieutenant Governor,,Write-in,6
House 14,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,29
House 14,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,4445
House 14,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,169
House 14,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,4120
House 15,Governor/Lieutenant Governor,,Write-in,6
House 15,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,65
House 15,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,4031
House 15,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,219
House 15,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,3975
House 16,Governor/Lieutenant Governor,,Write-in,3
House 16,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,58
House 16,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,4768
House 16,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,232
House 16,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,5010
House 17,Governor/Lieutenant Governor,,Write-in,1
House 17,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,57
House 17,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,2420
House 17,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,124
House 17,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,6055
House 18,Governor/Lieutenant Governor,,Write-in,3
House 18,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,53
House 18,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,3406
House 18,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,147
House 18,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,7487
House 19,Governor/Lieutenant Governor,,Write-in,13
House 19,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,66
House 19,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,7943
House 19,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,303
House 19,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,10751
House 20,Governor/Lieutenant Governor,,Write-in,3
House 20,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,33
House 20,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,3084
House 20,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,116
House 20,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,3676
House 21,Governor/Lieutenant Governor,,Write-in,3
House 21,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,61
House 21,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,4212
House 21,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,206
House 21,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,7959
House 22,Governor/Lieutenant Governor,,Write-in,9
House 22,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,52
House 22,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,5203
House 22,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,191
House 22,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,9534
House 23,Governor/Lieutenant Governor,,Write-in,3
House 23,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,77
House 23,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,3837
House 23,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,218
House 23,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,7182
House 24,Governor/Lieutenant Governor,,Write-in,3
House 24,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,36
House 24,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,2865
House 24,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,112
House 24,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,5781
House 25,Governor/Lieutenant Governor,,Write-in,9
House 25,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,60
House 25,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,6552
House 25,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,281
House 25,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,9522
House 26,Governor/Lieutenant Governor,,Write-in,6
House 26,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,59
House 26,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,6974
House 26,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,260
House 26,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,7821
House 27,Governor/Lieutenant Governor,,Write-in,4
House 27,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,34
House 27,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,3065
House 27,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,172
House 27,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,5670
House 28,Governor/Lieutenant Governor,,Write-in,3
House 28,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,36
House 28,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,2830
House 28,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,122
House 28,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,5272
House 29,Governor/Lieutenant Governor,,Write-in,3
House 29,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,65
House 29,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,6408
House 29,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,219
House 29,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,6493
House 30,Governor/Lieutenant Governor,,Write-in,6
House 30,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,48
House 30,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,8001
House 30,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,307
House 30,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,8804
House 31,Governor/Lieutenant Governor,,Write-in,7
House 31,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,45
House 31,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,6778
House 31,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,230
House 31,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,4700
House 32,Governor/Lieutenant Governor,,Write-in,7
House 32,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,47
House 32,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,6361
House 32,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,199
House 32,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,2509
House 33,Governor/Lieutenant Governor,,Write-in,7
House 33,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,40
House 33,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,6967
House 33,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,203
House 33,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,3409
House 34,Governor/Lieutenant Governor,,Write-in,10
House 34,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,56
House 34,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,8377
House 34,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,239
House 34,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,3607
House 35,Governor/Lieutenant Governor,,Write-in,5
House 35,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,38
House 35,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,5726
House 35,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,161
House 35,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,1924
House 36,Governor/Lieutenant Governor,,Write-in,5
House 36,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,51
House 36,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,10755
House 36,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,287
House 36,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,4236
House 37,Governor/Lieutenant Governor,,Write-in,7
House 37,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,59
House 37,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,9866
House 37,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,324
House 37,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,10504
House 38,Governor/Lieutenant Governor,,Write-in,3
House 38,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,53
House 38,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,8202
House 38,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,274
House 38,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,7658
House 39,Governor/Lieutenant Governor,,Write-in,4
House 39,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,47
House 39,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,9551
House 39,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,287
House 39,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,9847
House 40,Governor/Lieutenant Governor,,Write-in,6
House 40,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,39
House 40,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,8568
House 40,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,222
House 40,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,6869
House 41,Governor/Lieutenant Governor,,Write-in,14
House 41,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,62
House 41,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,12037
House 41,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,212
House 41,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,3802
House 42,Governor/Lieutenant Governor,,Write-in,1
House 42,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,42
House 42,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,8855
House 42,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,219
House 42,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,6635
House 43,Governor/Lieutenant Governor,,Write-in,7
House 43,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,33
House 43,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,9192
House 43,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,191
House 43,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,6553
House 44,Governor/Lieutenant Governor,,Write-in,7
House 44,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,44
House 44,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,11087
House 44,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,293
House 44,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,10602
House 45,Governor/Lieutenant Governor,,Write-in,5
House 45,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,113
House 45,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,9520
House 45,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,295
House 45,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,4544
House 46,Governor/Lieutenant Governor,,Write-in,5
House 46,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,82
House 46,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,8922
House 46,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,234
House 46,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,4427
House 47,Governor/Lieutenant Governor,,Write-in,5
House 47,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,17
House 47,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,1679
House 47,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,75
House 47,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,2329
House 48,Governor/Lieutenant Governor,,Write-in,7
House 48,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,54
House 48,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,4578
House 48,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,173
House 48,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,6372
House 49,Governor/Lieutenant Governor,,Write-in,5
House 49,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,75
House 49,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,6179
House 49,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,319
House 49,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,7761
House 50,Governor/Lieutenant Governor,,Write-in,3
House 50,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,73
House 50,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,4707
House 50,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,177
House 50,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,8304
House 51,Governor/Lieutenant Governor,,Write-in,3
House 51,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,143
House 51,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,3755
House 51,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,181
House 51,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,5779
House 52,Governor/Lieutenant Governor,,Write-in,4
House 52,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,70
House 52,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,2789
House 52,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,100
House 52,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,4338
House 53,Governor/Lieutenant Governor,,Write-in,4
House 53,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,62
House 53,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,6465
House 53,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,182
House 53,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,5714
House 54,Governor/Lieutenant Governor,,Write-in,1
House 54,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,85
House 54,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,4499
House 54,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,179
House 54,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,8029
House 55,Governor/Lieutenant Governor,,Write-in,0
House 55,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,196
House 55,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,4341
House 55,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,123
House 55,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,5085
House 56,Governor/Lieutenant Governor,,Write-in,4
House 56,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,246
House 56,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,3083
House 56,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,116
