County,Precincts,,Date/Period,,,Democratic,,,Green,Libertarian,Republican,,Other,,Total,,,,,
,,,P.E. 2018,,,30.60,,,0.18,0.86,34.81,,33.55,,,,,,,
,,,G.E. 2018,,,30.99,,,0.17,0.85,34.67,,33.31,,,,,,,

Active
District,,,,Precincts,Democratic,,,Green,,Libertarian,,Republican,,Other,,Total,,,,

Congressional District 1
Apache,,,,44,"28,223",,,47,,154,,"8,960",,"12,416",,"49,800",,,,
Coconino,,,,71,"33,996",,,279,,794,,"21,123",,"27,047",,"83,239",,,,
Gila,,,,22,"5,583",,,6,,56,,"2,960",,"3,284",,"11,889",,,,
Graham,,,,22,"5,164",,,11,,91,,"8,330",,"4,310",,"17,906",,,,
Greenlee,,,,8,"1,857",,,4,,32,,"1,369",,"1,273",,"4,535",,,,
Maricopa,,,,3,618,,,1,,8,,84,,534,,"1,245",,,,
