ElectionDate	PartyCode	PartyName	RaceCode	OfficeDesc	CountyCode	CountyName	Juris1num	Juris2num	Precincts	PrecinctsReporting	CanNameLast	CanNameFirst	CanNameMiddle	CanVotes
8/28/2018	REP	Republican	USS	United States Senator	BRO	Broward			577	577	Scott	Rick		54660
8/28/2018	REP	Republican	USS	United States Senator	CAL	Calhoun			11	11	Scott	Rick		880
8/28/2018	REP	Republican	USS	United States Senator	CHA	Charlotte			67	67	Scott	Rick		17537
8/28/2018	REP	Republican	USS	United States Senator	CIT	Citrus			0	0	Scott	Rick		20889
8/28/2018	REP	Republican	USS	United States Senator	CLA	Clay			0	0	Scott	Rick		26351
8/28/2018	REP	Republican	USS	United States Senator	CLL	Collier			59	59	Scott	Rick		41108
8/28/2018	REP	Republican	USS	United States Senator	CLM	Columbia			22	22	Scott	Rick		6709
8/28/2018	REP	Republican	USS	United States Senator	DES	Desoto			15	15	Scott	Rick		1706
8/28/2018	REP	Republican	USS	United States Senator	DIX	Dixie			10	10	Scott	Rick		1343
8/28/2018	REP	Republican	USS	United States Senator	DUV	Duval			199	199	Scott	Rick		68016
8/28/2018	REP	Republican	USS	United States Senator	ESC	Escambia			0	0	Scott	Rick		31704
8/28/2018	REP	Republican	USS	United States Senator	FLA	Flagler			25	25	Scott	Rick		12193
8/28/2018	REP	Republican	USS	United States Senator	FRA	Franklin			8	8	Scott	Rick		1170
8/28/2018	REP	Republican	USS	United States Senator	GAD	Gadsden			25	25	Scott	Rick		1734
8/28/2018	REP	Republican	USS	United States Senator	GIL	Gilchrist			10	10	Scott	Rick		2197
8/28/2018	REP	Republican	USS	United States Senator	GLA	Glades			13	13	Scott	Rick		867
8/28/2018	REP	Republican	USS	United States Senator	GUL	Gulf			0	0	Scott	Rick		1651
8/28/2018	REP	Republican	USS	United States Senator	HAM	Hamilton			8	8	Scott	Rick		862
8/28/2018	REP	Republican	USS	United States Senator	HAR	Hardee			12	12	Scott	Rick		2193
8/28/2018	REP	Republican	USS	United States Senator	HEN	Hendry			10	10	Scott	Rick		2013
8/28/2018	REP	Republican	USS	United States Senator	HER	Hernando			64	64	Scott	Rick		19193
8/28/2018	REP	Republican	USS	United States Senator	HIG	Highlands			25	25	Scott	Rick		10734
8/28/2018	REP	Republican	USS	United States Senator	HIL	Hillsborough			390	390	Scott	Rick		85523
8/28/2018	REP	Republican	USS	United States Senator	HOL	Holmes			0	0	Scott	Rick		2530
8/28/2018	REP	Republican	USS	United States Senator	IND	Indian River			36	36	Scott	Rick		16654
8/28/2018	REP	Republican	USS	United States Senator	JAC	Jackson			14	14	Scott	Rick		3521
8/28/2018	REP	Republican	USS	United States Senator	JEF	Jefferson			0	0	Scott	Rick		1628
8/28/2018	REP	Republican	USS	United States Senator	LAF	Lafayette			5	5	Scott	Rick		608
8/28/2018	REP	Republican	USS	United States Senator	LAK	Lake			102	102	Scott	Rick		34700
8/28/2018	REP	Republican	USS	United States Senator	LEE	Lee			127	127	Scott	Rick		62653
8/28/2018	REP	Republican	USS	United States Senator	LEO	Leon			155	155	Scott	Rick		19011
8/28/2018	REP	Republican	USS	United States Senator	LEV	Levy			13	13	Scott	Rick		4812
8/28/2018	REP	Republican	USS	United States Senator	LIB	Liberty			0	0	Scott	Rick		415
8/28/2018	REP	Republican	USS	United States Senator	MAD	Madison			11	11	Scott	Rick		1397
8/28/2018	REP	Republican	USS	United States Senator	MAN	Manatee			70	70	Scott	Rick		37130
8/28/2018	REP	Republican	USS	United States Senator	MRN	Marion			125	125	Scott	Rick		39338
8/28/2018	REP	Republican	USS	United States Senator	MRT	Martin			0	0	Scott	Rick		19510
8/28/2018	REP	Republican	USS	United States Senator	DAD	Miami-Dade			0	0	Scott	Rick		89015
8/28/2018	REP	Republican	USS	United States Senator	MON	Monroe			33	33	Scott	Rick		6565
8/28/2018	REP	Republican	USS	United States Senator	NAS	Nassau			0	0	Scott	Rick		12882
8/28/2018	REP	Republican	USS	United States Senator	OKA	Okaloosa			52	52	Scott	Rick		22779
8/28/2018	REP	Republican	USS	United States Senator	OKE	Okeechobee			0	0	Scott	Rick		3078
8/28/2018	REP	Republican	USS	United States Senator	ORA	Orange			0	0	Scott	Rick		60582
8/28/2018	REP	Republican	USS	United States Senator	OSC	Osceola			87	87	Scott	Rick		14169
8/28/2018	REP	Republican	USS	United States Senator	PAL	Palm Beach			871	871	Scott	Rick		68358
8/28/2018	REP	Republican	USS	United States Senator	PAS	Pasco			110	110	Scott	Rick		40455
8/28/2018	REP	Republican	USS	United States Senator	PIN	Pinellas			299	299	Scott	Rick		77855
8/28/2018	REP	Republican	USS	United States Senator	POL	Polk			167	167	Scott	Rick		53995
8/28/2018	REP	Republican	USS	United States Senator	PUT	Putnam			0	0	Scott	Rick		6780
8/28/2018	REP	Republican	USS	United States Senator	SAN	Santa Rosa			0	0	Scott	Rick		21470
8/28/2018	REP	Republican	USS	United States Senator	SAR	Sarasota			101	101	Scott	Rick		42998
8/28/2018	REP	Republican	USS	United States Senator	SEM	Seminole			81	81	Scott	Rick		36000
8/28/2018	REP	Republican	USS	United States Senator	STJ	St. Johns			0	0	Scott	Rick		31377
8/28/2018	REP	Republican	USS	United States Senator	STL	St. Lucie			64	64	Scott	Rick		20216
8/28/2018	REP	Republican	USS	United States Senator	SUM	Sumter			26	26	Scott	Rick		23820
8/28/2018	REP	Republican	USS	United States Senator	SUW	Suwannee			16	16	Scott	Rick		4119
8/28/2018	REP	Republican	USS	United States Senator	TAY	Taylor			14	14	Scott	Rick		1707
8/28/2018	REP	Republican	USS	United States Senator	UNI	Union			8	8	Scott	Rick		1210
8/28/2018	REP	Republican	USS	United States Senator	VOL	Volusia			125	125	Scott	Rick		47996
8/28/2018	REP	Republican	USS	United States Senator	WAK	Wakulla			0	0	Scott	Rick		2950
8/28/2018	REP	Republican	USS	United States Senator	WAL	Walton			0	0	Scott	Rick		8669
8/28/2018	REP	Republican	USS	United States Senator	WAS	Washington			0	0	Scott	Rick		2745
8/28/2018	REP	Republican	USR	United States Representative	ESC	Escambia	001		0	0	Dosev	Cris		13571
8/28/2018	REP	Republican	USR	United States Representative	HOL	Holmes	001		0	0	Dosev	Cris		217
8/28/2018	REP	Republican	USR	United States Representative	OKA	Okaloosa	001		52	52	Dosev	Cris		5517
8/28/2018	REP	Republican	USR	United States Representative	SAN	Santa Rosa	001		0	0	Dosev	Cris		9184
8/28/2018	REP	Republican	USR	United States Representative	WAL	Walton	001		0	0	Dosev	Cris		1944
8/28/2018	REP	Republican	USR	United States Representative	ESC	Escambia	001		0	0	Gaetz	Matt		21323
8/28/2018	REP	Republican	USR	United States Representative	HOL	Holmes	001		0	0	Gaetz	Matt		1519
8/28/2018	REP	Republican	USR	United States Representative	OKA	Okaloosa	001		52	52	Gaetz	Matt		19334
8/28/2018	REP	Republican	USR	United States Representative	SAN	Santa Rosa	001		0	0	Gaetz	Matt		15135
8/28/2018	REP	Republican	USR	United States Representative	WAL	Walton	001		0	0	Gaetz	Matt		7892
8/28/2018	REP	Republican	USR	United States Representative	ESC	Escambia	001		0	0	Mills	John		1738
8/28/2018	REP	Republican	USR	United States Representative	HOL	Holmes	001		0	0	Mills	John		165
8/28/2018	REP	Republican	USR	United States Representative	OKA	Okaloosa	001		52	52	Mills	John		1190
8/28/2018	REP	Republican	USR	United States Representative	SAN	Santa Rosa	001		0	0	Mills	John		955
8/28/2018	REP	Republican	USR	United States Representative	WAL	Walton	001		0	0	Mills	John		944
8/28/2018	REP	Republican	USR	United States Representative	ALA	Alachua	003		63	63	Sapp	Judson		2707
8/28/2018	REP	Republican	USR	United States Representative	BRA	Bradford	003		14	14	Sapp	Judson		674
8/28/2018	REP	Republican	USR	United States Representative	CLA	Clay	003		0	0	Sapp	Judson		7397
8/28/2018	REP	Republican	USR	United States Representative	MRN	Marion	003		51	51	Sapp	Judson		4553
8/28/2018	REP	Republican	USR	United States Representative	PUT	Putnam	003		0	0	Sapp	Judson		1537
8/28/2018	REP	Republican	USR	United States Representative	UNI	Union	003		8	8	Sapp	Judson		200
8/28/2018	REP	Republican	USR	United States Representative	ALA	Alachua	003		63	63	Yoho	Ted		12321
8/28/2018	REP	Republican	USR	United States Representative	BRA	Bradford	003		14	14	Yoho	Ted		2781
8/28/2018	REP	Republican	USR	United States Representative	CLA	Clay	003		0	0	Yoho	Ted		21198
8/28/2018	REP	Republican	USR	United States Representative	MRN	Marion	003		51	51	Yoho	Ted		11482
8/28/2018	REP	Republican	USR	United States Representative	PUT	Putnam	003		0	0	Yoho	Ted		5874
8/28/2018	REP	Republican	USR	United States Representative	UNI	Union	003		8	8	Yoho	Ted		1192
8/28/2018	REP	Republican	USR	United States Representative	FLA	Flagler	006		25	25	Costello	Fred		2984
8/28/2018	REP	Republican	USR	United States Representative	LAK	Lake	006		25	25	Costello	Fred		1639
8/28/2018	REP	Republican	USR	United States Representative	STJ	St. Johns	006		0	0	Costello	Fred		830
8/28/2018	REP	Republican	USR	United States Representative	VOL	Volusia	006		125	125	Costello	Fred		15621
8/28/2018	REP	Republican	USR	United States Representative	FLA	Flagler	006		25	25	Waltz	Michael		5533
8/28/2018	REP	Republican	USR	United States Representative	LAK	Lake	006		25	25	Waltz	Michael		3872
8/28/2018	REP	Republican	USR	United States Representative	STJ	St. Johns	006		0	0	Waltz	Michael		2234
8/28/2018	REP	Republican	USR	United States Representative	VOL	Volusia	006		125	125	Waltz	Michael		21277
8/28/2018	REP	Republican	USR	United States Representative	FLA	Flagler	006		25	25	Ward	John		4114
8/28/2018	REP	Republican	USR	United States Representative	LAK	Lake	006		25	25	Ward	John		3745
8/28/2018	REP	Republican	USR	United States Representative	STJ	St. Johns	006		0	0	Ward	John		1851
8/28/2018	REP	Republican	USR	United States Representative	VOL	Volusia	006		125	125	Ward	John		13883
8/28/2018	REP	Republican	USR	United States Representative	ORA	Orange	007		0	0	Francois	Vennia		2864
8/28/2018	REP	Republican	USR	United States Representative	SEM	Seminole	007		81	81	Francois	Vennia		6086
8/28/2018	REP	Republican	USR	United States Representative	ORA	Orange	007		0	0	Miller	Mike		11928
8/28/2018	REP	Republican	USR	United States Representative	SEM	Seminole	007		81	81	Miller	Mike		18701
8/28/2018	REP	Republican	USR	United States Representative	ORA	Orange	007		0	0	Sturgill	Scott		3807
8/28/2018	REP	Republican	USR	United States Representative	SEM	Seminole	007		81	81	Sturgill	Scott		13446
8/28/2018	REP	Republican	USR	United States Representative	PIN	Pinellas	013		239	239	Buck	George		30567
8/28/2018	REP	Republican	USR	United States Representative	PIN	Pinellas	013		239	239	Sostack	Brad		24020
8/28/2018	REP	Republican	USR	United States Representative	HIL	Hillsborough	015		109	109	Combee	Neil		6263
8/28/2018	REP	Republican	USR	United States Representative	LAK	Lake	015		20	20	Combee	Neil		1953
8/28/2018	REP	Republican	USR	United States Representative	POL	Polk	015		65	65	Combee	Neil		12374
8/28/2018	REP	Republican	USR	United States Representative	HIL	Hillsborough	015		109	109	Harper	Sean		1758
8/28/2018	REP	Republican	USR	United States Representative	LAK	Lake	015		20	20	Harper	Sean		1105
8/28/2018	REP	Republican	USR	United States Representative	POL	Polk	015		65	65	Harper	Sean		3155
8/28/2018	REP	Republican	USR	United States Representative	HIL	Hillsborough	015		109	109	Kushmer	Danny		2034
8/28/2018	REP	Republican	USR	United States Representative	LAK	Lake	015		20	20	Kushmer	Danny		695
8/28/2018	REP	Republican	USR	United States Representative	POL	Polk	015		65	65	Kushmer	Danny		1338
8/28/2018	REP	Republican	USR	United States Representative	HIL	Hillsborough	015		109	109	Shoemaker	Ed		1328
8/28/2018	REP	Republican	USR	United States Representative	LAK	Lake	015		20	20	Shoemaker	Ed		643
