State Legislative District,Office,Party,Candidate,Votes
House 40,Governor,REP,Greg Abbott,10381
House 41,Governor,,Over Votes,0
House 41,Governor,,Under Votes,398
House 41,Governor,DEM,Lupe Valdez,22025
House 41,Governor,LIB,Mark Jay Tippetts,486
House 41,Governor,REP,Greg Abbott,18108
House 42,Governor,DEM,Lupe Valdez,22248
House 42,Governor,LIB,Mark Jay Tippetts,413
House 42,Governor,REP,Greg Abbott,11518
House 43,Governor,,Over Votes,1
House 43,Governor,,Under Votes,252
House 43,Governor,DEM,Lupe Valdez,16335
House 43,Governor,LIB,Mark Jay Tippetts,503
House 43,Governor,REP,Greg Abbott,26890
House 44,Governor,,Under Votes,369
House 44,Governor,DEM,Lupe Valdez,21065
House 44,Governor,LIB,Mark Jay Tippetts,1053
House 44,Governor,REP,Greg Abbott,49988
House 45,Governor,DEM,Lupe Valdez,39487
House 45,Governor,Greg Abbott,REP,4327
House 45,Governor,LIB,Mark Jay Tippetts,2144
House 45,Governor,Lupe Valdez,DEM,1349
House 45,Governor,Mark Jay Tippetts,LIB,115
House 45,Governor,REP,Greg Abbott,37895
House 52,Governor,,Over Votes,0
House 52,Governor,,Under Votes,616
House 52,Governor,DEM,Lupe Valdez,34775
House 52,Governor,LIB,Mark Jay Tippetts,1844
House 52,Governor,REP,Greg Abbott,35791
House 53,Governor,,OVER VOTES,0
House 53,Governor,,Over Votes,0
House 53,Governor,,UNDER VOTES,27
House 53,Governor,,Under Votes,325
House 53,Governor,DEM,Lupe Valdez,17252
House 53,Governor,LIB,Mark Jay Tippetts,969
House 53,Governor,LIB,Mary Jay Tippetts,23
House 53,Governor,REP,Greg Abbott,42093
House 53,Governor,REP,Gregg Abbott,24114
House 54,Governor,,Over Votes,3
House 54,Governor,,Under Votes,258
House 54,Governor,DEM,Lupe Valdez,21323
House 54,Governor,LIB,Mark Jay Tippetts,819
House 54,Governor,REP,Greg Abbott,26556
House 55,Governor,,Over Votes,0
House 55,Governor,,Under Votes,246
House 55,Governor,DEM,Lupe Valdez,13823
House 55,Governor,LIB,Mark Jay Tippetts,720
House 55,Governor,REP,Greg Abbott,30674
House 56,Governor,,Over Votes,0
House 56,Governor,,Under Votes,586
House 56,Governor,DEM,Lupe Valdez,17466
House 56,Governor,LIB,Mark Jay Tippetts,882
House 56,Governor,REP,Greg Abbott,39759
House 57,Governor,,OVER VOTES,0
House 57,Governor,,UNDER VOTES,237
House 57,Governor,DEM,Lupe Valdez,11039
House 57,Governor,LIB,Mark Jay Tippetts,435
House 57,Governor,REP,Greg Abbott,40811
House 58,Governor,DEM,Lupe Valdez,11209
House 58,Governor,LIB,Mark J. Tippetts,774
House 58,Governor,LIB,Mark Jay Tippetts,106
House 58,Governor,REP,Greg Abbott,47433
House 59,Governor,,Greg Abbott,2274
House 59,Governor,,Lupe Valdez,368
House 59,Governor,,Mark Jay Tippetts,33
House 59,Governor,,Over Votes,0
House 59,Governor,,Under Votes,197
House 59,Governor,DEM,Lupe Valdez,8484
House 59,Governor,LIB,Mark Jay Tippetts,581
House 59,Governor,REP,Greg Abbott,35197
House 60,Governor,,Cast Votes,18860
House 60,Governor,,Overvotes,0
House 60,Governor,,Undervotes,108
House 60,Governor,DEM,Lupe Valdez,10181
House 60,Governor,LIB,Mark Jay Tippetts,803
House 60,Governor,REP,Greg Abbott,60875
House 60,Governor,REP,Gregg Abbott,2774
House 61,Governor,,Over Votes,0
House 61,Governor,,Under Votes,682
House 61,Governor,DEM,Lupe Valdez,11283
House 61,Governor,LIB,Mark Jay Tippetts,1048
House 61,Governor,REP,Greg Abbott,65614
House 62,Governor,,Greg Abbott,1606
House 62,Governor,,Lupe Valdez,301
House 62,Governor,,Mark Jay Tippetts,29
House 62,Governor,,Over Votes,0
House 62,Governor,,Under Votes,20
House 62,Governor,DEM,LUPE VALDEZ,1767
House 62,Governor,DEM,Lupe Valdez,9857
House 62,Governor,LIB,MARK JAY TIPPETTS,131
House 62,Governor,LIB,Mark Jay Tippetts,608
House 62,Governor,REP,GREG ABBOTT,8856
House 62,Governor,REP,Greg Abbott,32562
House 62,Governor,REP,Over Votes,0
House 62,Governor,REP,Under Votes,93
House 63,Governor,,Over Votes,9
House 63,Governor,,Under Votes,457
House 63,Governor,DEM,Lupe Valdez,23965
House 63,Governor,LIB,Mark Jay Tippetts,1548
House 63,Governor,REP,Greg Abbott,54902
House 64,Governor,,Over Votes,9
House 64,Governor,,Under Votes,481
House 64,Governor,DEM,Lupe Valdez,30589
House 64,Governor,LIB,Mark Jay Tippetts,1597
House 64,Governor,REP,Greg Abbott,37462
House 65,Governor,,Over Votes,10
House 65,Governor,,Under Votes,365
House 65,Governor,DEM,Lupe Valdez,27709
House 65,Governor,LIB,Mark Jay Tippetts,1389
House 65,Governor,REP,Greg Abbott,30389
House 66,Governor,,OVER VOTES,7
House 66,Governor,,UNDER VOTES,721
House 66,Governor,DEM,Lupe Valdez,30668
House 66,Governor,LIB,Mark Jay Tippetts,1262
House 66,Governor,REP,Greg Abbott,37534
House 67,Governor,,OVER VOTES,8
House 67,Governor,,UNDER VOTES,785
House 67,Governor,DEM,Lupe Valdez,33094
House 67,Governor,LIB,Mark Jay Tippetts,1481
House 67,Governor,REP,Greg Abbott,39751
House 68,Governor,,Greg Abbott,677
House 68,Governor,,Lupe Valdez,220
House 68,Governor,,Mark Jay Tippetts,12
House 68,Governor,,OVER VOTES,1
House 68,Governor,,Over Votes,0
House 68,Governor,,UNDER VOTES,37
House 68,Governor,,Under Votes,28
House 68,Governor,DEM,Lupe Valdez,6422
House 68,Governor,Dem,Lupe Valdez,310
House 68,Governor,LIB,Mark Jay Tippetts,538
House 68,Governor,Lib,Mark Jay Tippetts,17
House 68,Governor,REP,Greg Abbott,42113
House 68,Governor,REP,Gregg Abbott,299
House 68,Governor,REP,Over Votes,0
House 68,Governor,REP,Under Votes,16
House 68,Governor,Rep,Greg Abbott,1161
House 69,Governor,,Greg Abbott,331
House 69,Governor,,Lupe Valdez,101
House 69,Governor,,Mark Jay Tippetts,4
House 69,Governor,,OVER VOTES,0
House 69,Governor,,Over Votes,0
House 69,Governor,,UNDER VOTES,42
House 69,Governor,,Under Votes,374
House 69,Governor,DEM,Lupe Valdez,9732
House 69,Governor,LIB,Mark Jay Tippetts,573
House 69,Governor,REP,Greg Abbott,33841
House 70,Governor,,OVER VOTES,3
House 70,Governor,,UNDER VOTES,729
House 70,Governor,DEM,Lupe Valdez,29576
House 70,Governor,LIB,Mark Jay Tippetts,1481
House 70,Governor,REP,Greg Abbott,55977
House 71,Governor,,OVER VOTES,3
House 71,Governor,,Over Votes,0
House 71,Governor,,UNDER VOTES,46
House 71,Governor,,Under Votes,386
House 71,Governor,DEM,Lupe Valdez,10444
House 71,Governor,LIB,Mark Jay Tippetts,781
House 71,Governor,REP,Greg Abbott,38519
House 72,Governor,,Cast Votes,976
House 72,Governor,,Over Votes,0
House 72,Governor,,Overvotes,0
House 72,Governor,,Under Votes,376
House 72,Governor,,Undervotes,8
House 72,Governor,DEM,Lupe Valdez,11201
House 72,Governor,LIB,Mark Jay Tippetts,717
House 72,Governor,REP,Greg Abbott,38771
House 73,Governor,,OVER VOTES,0
House 73,Governor,,UNDER VOTES,115
House 73,Governor,DEM,Lupe Valdez,18028
House 73,Governor,LIB,Mark Jay Tippetts,1359
House 73,Governor,REP,Greg Abbott,62711
House 73,Governor,REP,Gregg Abbott,3380
House 74,Governor,DEM,Lupe Valdez,19149
House 74,Governor,LIB,Mark Jay Tippetts,529
House 74,Governor,REP,Greg Abbott,18319
House 80,Governor,,Over Votes,1
House 80,Governor,,Under Votes,111
House 80,Governor,DEM,Lupe Valdez,19775
House 80,Governor,LIB,Mark Jay Tippetts,344
House 80,Governor,REP,Greg Abbott,14017
House 81,Governor,,Over Votes,1
House 81,Governor,,Under Votes,480
House 81,Governor,DEM,Lupe Valdez,9872
House 81,Governor,LIB,Mark Jay Tippetts,504
House 81,Governor,REP,Greg Abbott,28685
House 82,Governor,,OVER VOTES,0
House 82,Governor,,UNDER VOTES,14
House 82,Governor,DEM,Lupe Valdez,9414
House 82,Governor,LIB,Mark Jay Tippetts,752
House 82,Governor,REP,Greg Abbott,39296
House 83,Governor,,OVER VOTES,0
House 83,Governor,,Over Votes,0
House 83,Governor,,UNDER VOTES,41
